alpha3,alpha2,name,type
bex,,Jur Modo,Living
bey,,Beli (Papua New Guinea),Living
bez,,Bena (Tanzania),Living
bfa,,Bari,Living
bfb,,Pauri Bareli,Living
bfc,,Panyi Bai,Living
bfd,,Bafut,Living
bfe,,Betaf,Living
bff,,Bofi,Living
bfg,,Busang Kayan,Living
bfh,,Blafe,Living
bfi,,British Sign Language,Living
bfj,,Bafanji,Living
bfk,,Ban Khor Sign Language,Living
bfl,,Banda-Ndélé,Living
bfm,,Mmen,Living
bfn,,Bunak,Living
bfo,,Malba Birifor,Living
bfp,,Beba,Living
bfq,,Badaga,Living
bfr,,Bazigar,Living
bfs,,Southern Bai,Living
bft,,Balti,Living
bfu,,Gahri,Living
bfw,,Bondo,Living
bfx,,Bantayanon,Living
bfy,,Bagheli,Living
bfz,,Mahasu Pahari,Living
bga,,Gwamhi-Wuri,Living
bgb,,Bobongko,Living
bgc,,Haryanvi,Living
bgd,,Rathwi Bareli,Living
bge,,Bauria,Living
bgf,,Bangandu,Living
bgg,,Bugun,Living
bgi,,Giangan,Living
bgj,,Bangolan,Living
bgk,,Bit,Living
bgl,,Bo (Laos),Living
bgm,,Baga Mboteni,Living
bgn,,Western Balochi,Living
bgo,,Baga Koga,Living
bgp,,Eastern Balochi,Living
bgq,,Bagri,Living
bgr,,Bawm Chin,Living
bgs,,Tagabawa,Living
bgt,,Bughotu,Living
bgu,,Mbongno,Living
bgv,,Warkay-Bipim,Living
bgw,,Bhatri,Living
bgx,,Balkan Gagauz Turkish,Living
bgy,,Benggoi,Living
bgz,,Banggai,Living
bha,,Bharia,Living
bhb,,Bhili,Living
bhc,,Biga,Living
bhd,,Bhadrawahi,Living
bhe,,Bhaya,Living
bhf,,Odiai,Living
bhg,,Binandere,Living
bhh,,Bukharic,Living
bhi,,Bhilali,Living
bhj,,Bahing,Living
bhl,,Bimin,Living
bhm,,Bathari,Living
bhn,,Bohtan Neo-Aramaic,Living
bho,,Bhojpuri,Living
bhp,,Bima,Living
bhq,,Tukang Besi South,Living
bhr,,Bara Malagasy,Living
bhs,,Buwal,Living
bht,,Bhattiyali,Living
bhu,,Bhunjia,Living
bhv,,Bahau,Living
bhw,,Biak,Living
bhx,,Bhalay,Living
bhy,,Bhele,Living
bhz,,Bada (Indonesia),Living
bia,,Badimaya,Living
bib,,Bissa,Living
bic,,Bikaru,Living
bid,,Bidiyo,Living
bie,,Bepour,Living
bif,,Biafada,Living
big,,Biangai,Living
bij,,Vaghat-Ya-Bijim-Legeri,Living
bik,,Bikol,Living
bil,,Bile,Living
bim,,Bimoba,Living
bin,,Bini,Living
bio,,Nai,Living
bip,,Bila,Living
biq,,Bipi,Living
bir,,Bisorio,Living
bis,bi,Bislama,Living
bit,,Berinomo,Living
biu,,Biete,Living
biv,,Southern Birifor,Living
biw,,Kol (Cameroon),Living
bix,,Bijori,Living
biy,,Birhor,Living
biz,,Baloi,Living
bja,,Budza,Living
bjb,,Banggarla,Extinct
bjc,,Bariji,Living
bje,,Biao-Jiao Mien,Living
bjf,,Barzani Jewish Neo-Aramaic,Living
bjg,,Bidyogo,Living
bjh,,Bahinemo,Living
bji,,Burji,Living
bjj,,Kanauji,Living
bjk,,Barok,Living
bjl,,Bulu (Papua New Guinea),Living
bjm,,Bajelani,Living
bjn,,Banjar,Living
bjo,,Mid-Southern Banda,Living
bjp,,Fanamaket,Living
bjr,,Binumarien,Living
bjs,,Bajan,Living
bjt,,Balanta-Ganja,Living
bju,,Busuu,Living
bjv,,Bedjond,Living
bjw,,Bakwé,Living
bjx,,Banao Itneg,Living
