alpha3,alpha2,name,type
fpe,,Fernando Po Creole English,Living
fqs,,Fas,Living
fra,fr,French,Living
frc,,Cajun French,Living
frd,,Fordata,Living
frk,,Frankish,Extinct
frm,,Middle French (ca. 1400-1600),Historical
fro,,Old French (842-ca. 1400),Historical
frp,,Arpitan,Living
frq,,Forak,Living
frr,,Northern Frisian,Living
frs,,Eastern Frisian,Living
frt,,Fortsenal,Living
fry,fy,Western Frisian,Living
fse,,Finnish Sign Language,Living
fsl,,French Sign Language,Living
fss,,Finland-Swedish Sign Language,Living
fub,,Adamawa Fulfulde,Living
fuc,,Pulaar,Living
fud,,East Futuna,Living
fue,,Borgu Fulfulde,Living
fuf,,Pular,Living
fuh,,Western Niger Fulfulde,Living
fui,,Bagirmi Fulfulde,Living
fuj,,Ko,Living
ful,ff,Fulah,Living
fum,,Fum,Living
fun,,Fulniô,Living
fuq,,Central-Eastern Niger Fulfulde,Living
fur,,Friulian,Living
fut,,Futuna-Aniwa,Living
fuu,,Furu,Living
fuv,,Nigerian Fulfulde,Living
fuy,,Fuyug,Living
fvr,,Fur,Living
fwa,,Fwâi,Living
fwe,,Fwe,Living
gaa,,Ga,Living
gab,,Gabri,Living
gac,,Mixed Great Andamanese,Living
gad,,Gaddang,Living
gae,,Guarequena,Living
gaf,,Gende,Living
gag,,Gagauz,Living
gah,,Alekano,Living
gai,,Borei,Living
gaj,,Gadsup,Living
gak,,Gamkonora,Living
gal,,Galolen,Living
gam,,Kandawo,Living
gan,,Gan Chinese,Living
gao,,Gants,Living
gap,,Gal,Living
gaq,,Gata',Living
gar,,Galeya,Living
gas,,Adiwasi Garasia,Living
gat,,Kenati,Living
gau,,Mudhili Gadaba,Living
gaw,,Nobonob,Living
gax,,Borana-Arsi-Guji Oromo,Living
gay,,Gayo,Living
gaz,,West Central Oromo,Living
gba,,Gbaya (Central African Republic),Living
gbb,,Kaytetye,Living
gbd,,Karadjeri,Living
gbe,,Niksek,Living
gbf,,Gaikundi,Living
gbg,,Gbanziri,Living
gbh,,Defi Gbe,Living
gbi,,Galela,Living
gbj,,Bodo Gadaba,Living
gbk,,Gaddi,Living
gbl,,Gamit,Living
gbm,,Garhwali,Living
gbn,,Mo'da,Living
gbo,,Northern Grebo,Living
gbp,,Gbaya-Bossangoa,Living
gbq,,Gbaya-Bozoum,Living
gbr,,Gbagyi,Living
gbs,,Gbesi Gbe,Living
gbu,,Gagadu,Living
gbv,,Gbanu,Living
gbw,,Gabi-Gabi,Living
gbx,,Eastern Xwla Gbe,Living
gby,,Gbari,Living
gbz,,Zoroastrian Dari,Living
gcc,,Mali,Living
gcd,,Ganggalida,Extinct
gce,,Galice,Extinct
gcf,,Guadeloupean Creole French,Living
gcl,,Grenadian Creole English,Living
gcn,,Gaina,Living
gcr,,Guianese Creole French,Living
gct,,Colonia Tovar German,Living
gda,,Gade Lohar,Living
gdb,,Pottangi Ollar Gadaba,Living
gdc,,Gugu Badhun,Extinct
gdd,,Gedaged,Living
gde,,Gude,Living
gdf,,Guduf-Gava,Living
gdg,,Ga'dang,Living
gdh,,Gadjerawang,Living
gdi,,Gundi,Living
gdj,,Gurdjar,Living
gdk,,Gadang,Living
gdl,,Dirasha,Living
gdm,,Laal,Living
gdn,,Umanakaina,Living
gdo,,Ghodoberi,Living
gdq,,Mehri,Living
gdr,,Wipi,Living
gds,,Ghandruk Sign Language,Living
gdt,,Kungardutyi,Extinct
gdu,,Gudu,Living
gdx,,Godwari,Living
gea,,Geruma,Living
geb,,Kire,Living
gec,,Gboloo Grebo,Living
ged,,Gade,Living
geg,,Gengle,Living
geh,,Hutterite German,Living
gei,,Gebe,Living
gej,,Gen,Living
gek,,Yiwom,Living
gel,,ut-Ma'in,Living
geq,,Geme,Living
ges,,Geser-Gorom,Living
gev,,Eviya,Living
gew,,Gera,Living
gex,,Garre,Living
gey,,Enya,Living
gez,,Geez,Ancient
gfk,,Patpatar,Living
gft,,Gafat,Extinct
gfx,,Mangetti Dune !Xung,Living
gga,,Gao,Living
ggb,,Gbii,Living
ggd,,Gugadj,Extinct
gge,,Guragone,Living
ggg,,Gurgula,Living
ggk,,Kungarakany,Extinct
ggl,,Ganglau,Living
ggn,,Eastern Gurung,Living
ggo,,Southern Gondi,Living
ggt,,Gitua,Living
ggu,,Gagu,Living
ggw,,Gogodala,Living
gha,,Ghadamès,Living
ghc,,Hiberno-Scottish Gaelic,Extinct
ghe,,Southern Ghale,Living
ghh,,Northern Ghale,Living
ghk,,Geko Karen,Living
ghl,,Ghulfan,Living
ghn,,Ghanongga,Living
gho,,Ghomara,Extinct
ghr,,Ghera,Living
ghs,,Guhu-Samane,Living
ght,,Kuke,Living
gia,,Kitja,Living
gib,,Gibanawa,Living
gic,,Gail,Living
gid,,Gidar,Living
gig,,Goaria,Living
gih,,Githabul,Living
gil,,Gilbertese,Living
gim,,Gimi (Eastern Highlands),Living
gin,,Hinukh,Living
gip,,Gimi (West New Britain),Living
giq,,Green Gelao,Living
gir,,Red Gelao,Living
gis,,North Giziga,Living
git,,Gitxsan,Living
giu,,Mulao,Living
giw,,White Gelao,Living
gix,,Gilima,Living
giy,,Giyug,Living
giz,,South Giziga,Living
gji,,Geji,Living
gjk,,Kachi Koli,Living
gjm,,Gunditjmara,Extinct
gjn,,Gonja,Living
gju,,Gujari,Living
gka,,Guya,Living
gke,,Ndai,Living
gkn,,Gokana,Living
gko,,Kok-Nar,Extinct
gkp,,Guinea Kpelle,Living
gla,gd,Scottish Gaelic,Living
glc,,Bon Gula,Living
gld,,Nanai,Living
gle,ga,Irish,Living
glg,gl,Galician,Living
glh,,Northwest Pashayi,Living
gli,,Guliguli,Extinct
glj,,Gula Iro,Living
glk,,Gilaki,Living
gll,,Garlali,Extinct
glo,,Galambu,Living
glr,,Glaro-Twabo,Living
glu,,Gula (Chad),Living
glv,gv,Manx,Living
glw,,Glavda,Living
gly,,Gule,Extinct
gma,,Gambera,Extinct
gmb,,Gula'alaa,Living
gmd,,Mághdì,Living
gmg,,Magɨyi,Living
gmh,,Middle High German (ca. 1050-1500),Historical
gml,,Middle Low German,Historical
gmm,,Gbaya-Mbodomo,Living
gmn,,Gimnime,Living
gmu,,Gumalu,Living
gmv,,Gamo,Living
gmx,,Magoma,Living
gmy,,Mycenaean Greek,Ancient
gmz,,Mgbolizhia,Living
gna,,Kaansa,Living
gnb,,Gangte,Living
gnc,,Guanche,Extinct
gnd,,Zulgo-Gemzek,Living
gne,,Ganang,Living
gng,,Ngangam,Living
gnh,,Lere,Living
gni,,Gooniyandi,Living
gnk,,//Gana,Living
gnl,,Gangulu,Extinct
gnm,,Ginuman,Living
gnn,,Gumatj,Living
gno,,Northern Gondi,Living
gnq,,Gana,Living
gnr,,Gureng Gureng,Extinct
gnt,,Guntai,Living
gnu,,Gnau,Living
gnw,,Western Bolivian Guaraní,Living
gnz,,Ganzi,Living
goa,,Guro,Living
gob,,Playero,Living
goc,,Gorakor,Living
god,,Godié,Living
goe,,Gongduk,Living
gof,,Gofa,Living
gog,,Gogo,Living
goh,,Old High German (ca. 750-1050),Historical
goi,,Gobasi,Living
goj,,Gowlan,Living
gok,,Gowli,Living
gol,,Gola,Living
gom,,Goan Konkani,Living
gon,,Gondi,Living
goo,,Gone Dau,Living
gop,,Yeretuar,Living
goq,,Gorap,Living
gor,,Gorontalo,Living
gos,,Gronings,Living
got,,Gothic,Ancient
gou,,Gavar,Living
gow,,Gorowa,Living
gox,,Gobu,Living
goy,,Goundo,Living
goz,,Gozarkhani,Living
gpa,,Gupa-Abawa,Living
gpe,,Ghanaian Pidgin English,Living
gpn,,Taiap,Living
gqa,,Ga'anda,Living
gqi,,Guiqiong,Living
gqn,,Guana (Brazil),Extinct
gqr,,Gor,Living
gqu,,Qau,Living
gra,,Rajput Garasia,Living
grb,,Grebo,Living
grc,,Ancient Greek (to 1453),Historical
grd,,Guruntum-Mbaaru,Living
grg,,Madi,Living
grh,,Gbiri-Niragu,Living
gri,,Ghari,Living
grj,,Southern Grebo,Living
grm,,Kota Marudu Talantang,Living
grn,gn,Guarani,Living
gro,,Groma,Living
grq,,Gorovu,Living
grr,,Taznatit,Living
grs,,Gresi,Living
grt,,Garo,Living
gru,,Kistane,Living
grv,,Central Grebo,Living
grw,,Gweda,Living
grx,,Guriaso,Living
gry,,Barclayville Grebo,Living
grz,,Guramalum,Living
gse,,Ghanaian Sign Language,Living
gsg,,German Sign Language,Living
gsl,,Gusilay,Living
gsm,,Guatemalan Sign Language,Living
gsn,,Gusan,Living
gso,,Southwest Gbaya,Living
gsp,,Wasembo,Living
gss,,Greek Sign Language,Living
gsw,,Swiss German,Living
gta,,Guató,Living
gti,,Gbati-ri,Living
gtu,,Aghu-Tharnggala,Extinct
gua,,Shiki,Living
gub,,Guajajára,Living
guc,,Wayuu,Living
gud,,Yocoboué Dida,Living
gue,,Gurinji,Living
guf,,Gupapuyngu,Living
gug,,Paraguayan Guaraní,Living
guh,,Guahibo,Living
gui,,Eastern Bolivian Guaraní,Living
guj,gu,Gujarati,Living
guk,,Gumuz,Living
gul,,Sea Island Creole English,Living
gum,,Guambiano,Living
gun,,Mbyá Guaraní,Living
guo,,Guayabero,Living
gup,,Gunwinggu,Living
guq,,Aché,Living
gur,,Farefare,Living
gus,,Guinean Sign Language,Living
gut,,Maléku Jaíka,Living
guu,,Yanomamö,Living
guv,,Gey,Extinct
guw,,Gun,Living
gux,,Gourmanchéma,Living
guz,,Gusii,Living
gva,,Guana (Paraguay),Living
gvc,,Guanano,Living
gve,,Duwet,Living
gvf,,Golin,Living
gvj,,Guajá,Living
gvl,,Gulay,Living
gvm,,Gurmana,Living
gvn,,Kuku-Yalanji,Living
gvo,,Gavião Do Jiparaná,Living
gvp,,Pará Gavião,Living
gvr,,Western Gurung,Living
gvs,,Gumawana,Living
gvy,,Guyani,Extinct
gwa,,Mbato,Living
gwb,,Gwa,Living
gwc,,Kalami,Living
gwd,,Gawwada,Living
gwe,,Gweno,Living
gwf,,Gowro,Living
gwg,,Moo,Living
gwi,,Gwichʼin,Living
gwj,,/Gwi,Living
gwm,,Awngthim,Extinct
gwn,,Gwandara,Living
gwr,,Gwere,Living
gwt,,Gawar-Bati,Living
gwu,,Guwamu,Extinct
gww,,Kwini,Living
gwx,,Gua,Living
gxx,,Wè Southern,Living
gya,,Northwest Gbaya,Living
gyb,,Garus,Living
gyd,,Kayardild,Living
gye,,Gyem,Living
gyf,,Gungabula,Extinct
gyg,,Gbayi,Living
gyi,,Gyele,Living
gyl,,Gayil,Living
gym,,Ngäbere,Living
gyn,,Guyanese Creole English,Living
gyr,,Guarayu,Living
gyy,,Gunya,Extinct
gza,,Ganza,Living
gzi,,Gazi,Living
gzn,,Gane,Living
haa,,Han,Living
hab,,Hanoi Sign Language,Living
hac,,Gurani,Living
had,,Hatam,Living
hae,,Eastern Oromo,Living
haf,,Haiphong Sign Language,Living
hag,,Hanga,Living
hah,,Hahon,Living
hai,,Haida,Living
haj,,Hajong,Living
hak,,Hakka Chinese,Living
hal,,Halang,Living
ham,,Hewa,Living
han,,Hangaza,Living
hao,,Hakö,Living
hap,,Hupla,Living
haq,,Ha,Living
har,,Harari,Living
has,,Haisla,Living
hat,ht,Haitian,Living
hau,ha,Hausa,Living
hav,,Havu,Living
haw,,Hawaiian,Living
hax,,Southern Haida,Living
hay,,Haya,Living
haz,,Hazaragi,Living
hba,,Hamba,Living
hbb,,Huba,Living
hbn,,Heiban,Living
hbo,,Ancient Hebrew,Historical
hbs,sh,Serbo-CroatianCode element for 639-1 has been deprecated,Living
hbu,,Habu,Living
hca,,Andaman Creole Hindi,Living
hch,,Huichol,Living
hdn,,Northern Haida,Living
hds,,Honduras Sign Language,Living
hdy,,Hadiyya,Living
hea,,Northern Qiandong Miao,Living
heb,he,Hebrew,Living
hed,,Herdé,Living
heg,,Helong,Living
heh,,Hehe,Living
hei,,Heiltsuk,Living
hem,,Hemba,Living
her,hz,Herero,Living
hgm,,Hai//om,Living
hgw,,Haigwai,Living
hhi,,Hoia Hoia,Living
hhr,,Kerak,Living
hhy,,Hoyahoya,Living
hia,,Lamang,Living
hib,,Hibito,Extinct
hid,,Hidatsa,Living
hif,,Fiji Hindi,Living
hig,,Kamwe,Living
hih,,Pamosu,Living
hii,,Hinduri,Living
hij,,Hijuk,Living
hik,,Seit-Kaitetu,Living
hil,,Hiligaynon,Living
hin,hi,Hindi,Living
hio,,Tsoa,Living
hir,,Himarimã,Living
hit,,Hittite,Ancient
hiw,,Hiw,Living
hix,,Hixkaryána,Living
hji,,Haji,Living
hka,,Kahe,Living
hke,,Hunde,Living
hkk,,Hunjara-Kaina Ke,Living
hks,,Hong Kong Sign Language,Living
hla,,Halia,Living
hlb,,Halbi,Living
hld,,Halang Doan,Living
hle,,Hlersu,Living
hlt,,Matu Chin,Living
hlu,,Hieroglyphic Luwian,Ancient
hma,,Southern Mashan Hmong,Living
hmb,,Humburi Senni Songhay,Living
hmc,,Central Huishui Hmong,Living
hmd,,Large Flowery Miao,Living
hme,,Eastern Huishui Hmong,Living
hmf,,Hmong Don,Living
hmg,,Southwestern Guiyang Hmong,Living
hmh,,Southwestern Huishui Hmong,Living
hmi,,Northern Huishui Hmong,Living
hmj,,Ge,Living
hmk,,Maek,Extinct
hml,,Luopohe Hmong,Living
hmm,,Central Mashan Hmong,Living
hmn,,Hmong,Living
hmo,ho,Hiri Motu,Living
hmp,,Northern Mashan Hmong,Living
hmq,,Eastern Qiandong Miao,Living
hmr,,Hmar,Living
hms,,Southern Qiandong Miao,Living
hmt,,Hamtai,Living
hmu,,Hamap,Living
hmv,,Hmong Dô,Living
hmw,,Western Mashan Hmong,Living
hmy,,Southern Guiyang Hmong,Living
hmz,,Hmong Shua,Living
hna,,Mina (Cameroon),Living
hnd,,Southern Hindko,Living
hne,,Chhattisgarhi,Living
hnh,,//Ani,Living
hni,,Hani,Living
hnj,,Hmong Njua,Living
hnn,,Hanunoo,Living
hno,,Northern Hindko,Living
hns,,Caribbean Hindustani,Living
hnu,,Hung,Living
hoa,,Hoava,Living
hob,,Mari (Madang Province),Living
hoc,,Ho,Living
hod,,Holma,Extinct
hoe,,Horom,Living
hoh,,Hobyót,Living
hoi,,Holikachuk,Living
hoj,,Hadothi,Living
hol,,Holu,Living
hom,,Homa,Extinct
hoo,,Holoholo,Living
hop,,Hopi,Living
hor,,Horo,Extinct
hos,,Ho Chi Minh City Sign Language,Living
hot,,Hote,Living
hov,,Hovongan,Living
how,,Honi,Living
hoy,,Holiya,Living
hoz,,Hozo,Living
hpo,,Hpon,Living
hps,,Hawai'i Sign Language (HSL),Living
hra,,Hrangkhol,Living
hrc,,Niwer Mil,Living
hre,,Hre,Living
hrk,,Haruku,Living
hrm,,Horned Miao,Living
hro,,Haroi,Living
hrp,,Nhirrpi,Extinct
hrt,,Hértevin,Living
hru,,Hruso,Living
hrv,hr,Croatian,Living
hrw,,Warwar Feni,Living
hrx,,Hunsrik,Living
hrz,,Harzani,Living
hsb,,Upper Sorbian,Living
hsh,,Hungarian Sign Language,Living
hsl,,Hausa Sign Language,Living
hsn,,Xiang Chinese,Living
hss,,Harsusi,Living
hti,,Hoti,Living
hto,,Minica Huitoto,Living
hts,,Hadza,Living
htu,,Hitu,Living
htx,,Middle Hittite,Ancient
hub,,Huambisa,Living
huc,,Err:510,Living
hud,,Huaulu,Living
hue,,San Francisco Del Mar Huave,Living
huf,,Humene,Living
hug,,Huachipaeri,Living
huh,,Huilliche,Living
hui,,Huli,Living
huj,,Northern Guiyang Hmong,Living
huk,,Hulung,Living
hul,,Hula,Living
hum,,Hungana,Living
hun,hu,Hungarian,Living
huo,,Hu,Living
hup,,Hupa,Living
huq,,Tsat,Living
hur,,Halkomelem,Living
hus,,Huastec,Living
hut,,Humla,Living
huu,,Murui Huitoto,Living
huv,,San Mateo Del Mar Huave,Living
huw,,Hukumina,Extinct
hux,,Nüpode Huitoto,Living
huy,,Hulaulá,Living
huz,,Hunzib,Living
hvc,,Haitian Vodoun Culture Language,Living
hve,,San Dionisio Del Mar Huave,Living
hvk,,Haveke,Living
hvn,,Sabu,Living
hvv,,Santa María Del Mar Huave,Living
hwa,,Wané,Living
hwc,,Hawai'i Creole English,Living
hwo,,Hwana,Living
hya,,Hya,Living
hye,hy,Armenian,Living
iai,,Iaai,Living
ian,,Iatmul,Living
iap,,Iapama,Living
iar,,Purari,Living
iba,,Iban,Living
ibb,,Ibibio,Living
ibd,,Iwaidja,Living
ibe,,Akpes,Living
ibg,,Ibanag,Living
ibl,,Ibaloi,Living
ibm,,Agoi,Living
ibn,,Ibino,Living
ibo,ig,Igbo,Living
ibr,,Ibuoro,Living
ibu,,Ibu,Living
iby,,Ibani,Living
ica,,Ede Ica,Living
ich,,Etkywan,Living
icl,,Icelandic Sign Language,Living
icr,,Islander Creole English,Living
ida,,Idakho-Isukha-Tiriki,Living
idb,,Indo-Portuguese,Living
idc,,Idon,Living
idd,,Ede Idaca,Living
ide,,Idere,Living
idi,,Idi,Living
ido,io,Ido,Constructed
idr,,Indri,Living
ids,,Idesa,Living
idt,,Idaté,Living
idu,,Idoma,Living
ifa,,Amganad Ifugao,Living
ifb,,Batad Ifugao,Living
ife,,Ifè,Living
iff,,Ifo,Extinct
ifk,,Tuwali Ifugao,Living
ifm,,Teke-Fuumu,Living
ifu,,Mayoyao Ifugao,Living
ify,,Keley-I Kallahan,Living
igb,,Ebira,Living
ige,,Igede,Living
igg,,Igana,Living
igl,,Igala,Living
igm,,Kanggape,Living
ign,,Ignaciano,Living
igo,,Isebe,Living
igs,,Interglossa,Constructed
igw,,Igwe,Living
ihb,,Iha Based Pidgin,Living
ihi,,Ihievbe,Living
ihp,,Iha,Living
ihw,,Bidhawal,Extinct
iii,ii,Sichuan Yi,Living
iin,,Thiin,Extinct
ijc,,Izon,Living
ije,,Biseni,Living
ijj,,Ede Ije,Living
ijn,,Kalabari,Living
ijs,,Southeast Ijo,Living
ike,,Eastern Canadian Inuktitut,Living
iki,,Iko,Living
ikk,,Ika,Living
ikl,,Ikulu,Living
iko,,Olulumo-Ikom,Living
ikp,,Ikpeshi,Living
ikr,,Ikaranggal,Extinct
ikt,,Inuinnaqtun,Living
iku,iu,Inuktitut,Living
ikv,,Iku-Gora-Ankwa,Living
ikw,,Ikwere,Living
ikx,,Ik,Living
ikz,,Ikizu,Living
ila,,Ile Ape,Living
ilb,,Ila,Living
ile,ie,Interlingue,Constructed
ilg,,Garig-Ilgar,Extinct
ili,,Ili Turki,Living
ilk,,Ilongot,Living
ill,,Iranun,Living
ilo,,Iloko,Living
ils,,International Sign,Living
ilu,,Ili'uun,Living
ilv,,Ilue,Living
ima,,Mala Malasar,Living
ime,,Imeraguen,Living
imi,,Anamgura,Living
iml,,Miluk,Extinct
imn,,Imonda,Living
imo,,Imbongu,Living
imr,,Imroing,Living
ims,,Marsian,Ancient
imy,,Milyan,Ancient
ina,ia,Interlingua (International Auxiliary Language Association),Constructed
inb,,Inga,Living
ind,id,Indonesian,Living
ing,,Degexit'an,Living
inh,,Ingush,Living
inj,,Jungle Inga,Living
inl,,Indonesian Sign Language,Living
inm,,Minaean,Ancient
inn,,Isinai,Living
ino,,Inoke-Yate,Living
inp,,Iñapari,Living
ins,,Indian Sign Language,Living
int,,Intha,Living
inz,,Ineseño,Extinct
ior,,Inor,Living
iou,,Tuma-Irumu,Living
iow,,Iowa-Oto,Extinct
ipi,,Ipili,Living
ipk,ik,Inupiaq,Living
ipo,,Ipiko,Living
iqu,,Iquito,Living
iqw,,Ikwo,Living
ire,,Iresim,Living
irh,,Irarutu,Living
iri,,Irigwe,Living
irk,,Iraqw,Living
irn,,Irántxe,Living
irr,,Ir,Living
iru,,Irula,Living
irx,,Kamberau,Living
iry,,Iraya,Living
isa,,Isabi,Living
isc,,Isconahua,Living
isd,,Isnag,Living
ise,,Italian Sign Language,Living
isg,,Irish Sign Language,Living
ish,,Esan,Living
isi,,Nkem-Nkum,Living
isk,,Ishkashimi,Living
isl,is,Icelandic,Living
ism,,Masimasi,Living
isn,,Isanzu,Living
iso,,Isoko,Living
isr,,Israeli Sign Language,Living
ist,,Istriot,Living
isu,,Isu (Menchum Division),Living
ita,it,Italian,Living
itb,,Binongan Itneg,Living
ite,,Itene,Extinct
iti,,Inlaod Itneg,Living
itk,,Judeo-Italian,Living
itl,,Itelmen,Living
itm,,Itu Mbon Uzo,Living
ito,,Itonama,Living
itr,,Iteri,Living
its,,Isekiri,Living
itt,,Maeng Itneg,Living
itv,,Itawit,Living
itw,,Ito,Living
itx,,Itik,Living
ity,,Moyadan Itneg,Living
itz,,Itzá,Living
ium,,Iu Mien,Living
ivb,,Ibatan,Living
ivv,,Ivatan,Living
iwk,,I-Wak,Living
iwm,,Iwam,Living
iwo,,Iwur,Living
iws,,Sepik Iwam,Living
ixc,,Ixcatec,Living
ixl,,Ixil,Living
iya,,Iyayu,Living
iyo,,Mesaka,Living
iyx,,Yaka (Congo),Living
izh,,Ingrian,Living
izr,,Izere,Living
izz,,Izii,Living
jaa,,Jamamadí,Living
jab,,Hyam,Living
jac,,Popti',Living
jad,,Jahanka,Living
jae,,Yabem,Living
jaf,,Jara,Living
jah,,Jah Hut,Living
jaj,,Zazao,Living
jak,,Jakun,Living
jal,,Yalahatan,Living
jam,,Jamaican Creole English,Living
jan,,Jandai,Extinct
jao,,Yanyuwa,Living
jaq,,Yaqay,Living
jas,,New Caledonian Javanese,Living
jat,,Jakati,Living
jau,,Yaur,Living
jav,jv,Javanese,Living
jax,,Jambi Malay,Living
jay,,Yan-nhangu,Living
jaz,,Jawe,Living
jbe,,Judeo-Berber,Living
jbi,,Badjiri,Extinct
jbj,,Arandai,Living
jbk,,Barikewa,Living
jbn,,Nafusi,Living
jbo,,Lojban,Constructed
jbr,,Jofotek-Bromnya,Living
jbt,,Jabutí,Living
jbu,,Jukun Takum,Living
jbw,,Yawijibaya,Extinct
jcs,,Jamaican Country Sign Language,Living
jct,,Krymchak,Living
jda,,Jad,Living
jdg,,Jadgali,Living
jdt,,Judeo-Tat,Living
jeb,,Jebero,Living
jee,,Jerung,Living
jeg,,Jeng,Living
jeh,,Jeh,Living
jei,,Yei,Living
jek,,Jeri Kuo,Living
jel,,Yelmek,Living
jen,,Dza,Living
jer,,Jere,Living
jet,,Manem,Living
jeu,,Jonkor Bourmataguil,Living
jgb,,Ngbee,Extinct
jge,,Judeo-Georgian,Living
jgk,,Gwak,Living
jgo,,Ngomba,Living
jhi,,Jehai,Living
jhs,,Jhankot Sign Language,Living
jia,,Jina,Living
jib,,Jibu,Living
jic,,Tol,Living
jid,,Bu,Living
jie,,Jilbe,Living
jig,,Djingili,Living
jih,,sTodsde,Living
jii,,Jiiddu,Living
jil,,Jilim,Living
jim,,Jimi (Cameroon),Living
jio,,Jiamao,Living
jiq,,Guanyinqiao,Living
jit,,Jita,Living
jiu,,Youle Jinuo,Living
jiv,,Shuar,Living
jiy,,Buyuan Jinuo,Living
jjr,,Bankal,Living
jkm,,Mobwa Karen,Living
jko,,Kubo,Living
jkp,,Paku Karen,Living
jkr,,Koro (India),Living
jku,,Labir,Living
jle,,Ngile,Living
jls,,Jamaican Sign Language,Living
jma,,Dima,Living
jmb,,Zumbun,Living
jmc,,Machame,Living
jmd,,Yamdena,Living
jmi,,Jimi (Nigeria),Living
jml,,Jumli,Living
jmn,,Makuri Naga,Living
jmr,,Kamara,Living
jms,,Mashi (Nigeria),Living
jmw,,Mouwase,Living
jmx,,Western Juxtlahuaca Mixtec,Living
jna,,Jangshung,Living
jnd,,Jandavra,Living
jng,,Yangman,Extinct
jni,,Janji,Living
jnj,,Yemsa,Living
jnl,,Rawat,Living
jns,,Jaunsari,Living
job,,Joba,Living
jod,,Wojenaka,Living
jor,,Jorá,Extinct
jos,,Jordanian Sign Language,Living
jow,,Jowulu,Living
jpa,,Jewish Palestinian Aramaic,Historical
jpn,ja,Japanese,Living
jpr,,Judeo-Persian,Living
jqr,,Jaqaru,Living
jra,,Jarai,Living
jrb,,Judeo-Arabic,Living
jrr,,Jiru,Living
jrt,,Jorto,Living
jru,,Japrería,Living
jsl,,Japanese Sign Language,Living
jua,,Júma,Living
jub,,Wannu,Living
juc,,Jurchen,Extinct
jud,,Worodougou,Living
juh,,Hõne,Living
jui,,Ngadjuri,Extinct
juk,,Wapan,Living
jul,,Jirel,Living
jum,,Jumjum,Living
jun,,Juang,Living
juo,,Jiba,Living
jup,,Hupdë,Living
jur,,Jurúna,Living
jus,,Jumla Sign Language,Living
jut,,Jutish,Living
juu,,Ju,Living
juw,,Wãpha,Living
juy,,Juray,Living
jvd,,Javindo,Extinct
jvn,,Caribbean Javanese,Living
jwi,,Jwira-Pepesa,Living
jya,,Jiarong,Living
jye,,Judeo-Yemeni Arabic,Living
jyy,,Jaya,Living
kaa,,Kara-Kalpak,Living
kab,,Kabyle,Living
kac,,Kachin,Living
kad,,Adara,Living
kae,,Ketangalan,Extinct
kaf,,Katso,Living
kag,,Kajaman,Living
kah,,Kara (Central African Republic),Living
kai,,Karekare,Living
kaj,,Jju,Living
kak,,Kayapa Kallahan,Living
kal,kl,Kalaallisut,Living
kam,,Kamba (Kenya),Living
kan,kn,Kannada,Living
kao,,Xaasongaxango,Living
kap,,Bezhta,Living
kaq,,Capanahua,Living
kas,ks,Kashmiri,Living
kat,ka,Georgian,Living
kau,kr,Kanuri,Living
kav,,Katukína,Living
kaw,,Kawi,Ancient
kax,,Kao,Living
kay,,Kamayurá,Living
kaz,kk,Kazakh,Living
kba,,Kalarko,Extinct
kbb,,Kaxuiâna,Extinct
kbc,,Kadiwéu,Living
kbd,,Kabardian,Living
kbe,,Kanju,Living
kbf,,Kakauhua,Extinct
kbg,,Khamba,Living
kbh,,Camsá,Living
kbi,,Kaptiau,Living
kbj,,Kari,Living
kbk,,Grass Koiari,Living
kbl,,Kanembu,Living
kbm,,Iwal,Living
kbn,,Kare (Central African Republic),Living
kbo,,Keliko,Living
kbp,,Kabiyè,Living
kbq,,Kamano,Living
kbr,,Kafa,Living
kbs,,Kande,Living
kbt,,Abadi,Living
kbu,,Kabutra,Living
kbv,,Dera (Indonesia),Living
kbw,,Kaiep,Living
kbx,,Ap Ma,Living
kby,,Manga Kanuri,Living
kbz,,Duhwa,Living
kca,,Khanty,Living
kcb,,Kawacha,Living
kcc,,Lubila,Living
kcd,,Ngkâlmpw Kanum,Living
kce,,Kaivi,Living
kcf,,Ukaan,Living
kcg,,Tyap,Living
kch,,Vono,Living
kci,,Kamantan,Living
kcj,,Kobiana,Living
kck,,Kalanga,Living
kcl,,Kela (Papua New Guinea),Living
kcm,,Gula (Central African Republic),Living
kcn,,Nubi,Living
kco,,Kinalakna,Living
kcp,,Kanga,Living
kcq,,Kamo,Living
kcr,,Katla,Living
kcs,,Koenoem,Living
kct,,Kaian,Living
kcu,,Kami (Tanzania),Living
kcv,,Kete,Living
kcw,,Kabwari,Living
kcx,,Kachama-Ganjule,Living
kcy,,Korandje,Living
kcz,,Konongo,Living
kda,,Worimi,Extinct
kdc,,Kutu,Living
kdd,,Yankunytjatjara,Living
kde,,Makonde,Living
kdf,,Mamusi,Living
kdg,,Seba,Living
kdh,,Tem,Living
kdi,,Kumam,Living
kdj,,Karamojong,Living
kdk,,Numèè,Living
kdl,,Tsikimba,Living
kdm,,Kagoma,Living
kdn,,Kunda,Living
kdp,,Kaningdon-Nindem,Living
kdq,,Koch,Living
kdr,,Karaim,Living
kdt,,Kuy,Living
kdu,,Kadaru,Living
kdw,,Koneraw,Living
kdx,,Kam,Living
kdy,,Keder,Living
kdz,,Kwaja,Living
kea,,Kabuverdianu,Living
keb,,Kélé,Living
kec,,Keiga,Living
ked,,Kerewe,Living
kee,,Eastern Keres,Living
